ID,Nome,Endereço,Atendimento,Telefone,Local no Google Maps,Reviews,Pontuação,Site,Categoria,,Latitude,Longitude,ID do local,,Imagem do local,Link dos Reviews
26,Meu Encanto Chácara 7,"R. Mario Fuzato - Nova Suíça, Piracicaba - SP, 13402-435","quarta-feira:[09:00–19:00],quinta-feira:[09:00–21:00],sexta-feira:[09:00–19:00],sábado:[09:00–19:00],domingo:[09:00–19:00],segunda-feira:[09:00–19:00],terça-feira:[09:00–19:00]",19994999445,link,15,4.9,link,Local para eventos,,-227.523.825,-477.192.128,ChIJ7emKlEI3xpQRrYFyKheRkmw,,link,link
27,CHÁCARA VEREDAS PIRACICABA,"R. Maria Constância Soares, 101 - Vale do Sol, Piracicaba - SP, 13406-012","quarta-feira:[Atendimento 24 horas],quinta-feira:[Atendimento 24 horas],sexta-feira:[Atendimento 24 horas],sábado:[Atendimento 24 horas],domingo:[Atendimento 24 horas],segunda-feira:[Atendimento 24 horas],terça-feira:[Atendimento 24 horas]",19981954243,link,102,4.8,link,Salão de festas,,-22.684.746.099.999.900,-477.027.818,ChIJzcXuKOI1xpQRtouq3L3eXro,,link,link
28,Chacara Recanto da Paz,"5962, Est. do Serrote, 5984, Piracicaba - SP","quarta-feira:[Atendimento 24 horas],quinta-feira:[Atendimento 24 horas],sexta-feira:[Atendimento 24 horas],sábado:[Atendimento 24 horas],domingo:[Atendimento 24 horas],segunda-feira:[Atendimento 24 horas],terça-feira:[Atendimento 24 horas]",19997890687,link,76,4.7,,Local para eventos,,-22.778.917,-477.062.956,ChIJs7ITOzI3xpQRj8ZY5fF30XM,,link,link
29,CHACARA ST ROSA,"R. Rifânia, 60 - Lot. Santa Rosa, Piracicaba - SP, 13414-214","quarta-feira:[08:00–21:00],quinta-feira:[08:00–21:00],sexta-feira:[08:00–21:00],sábado:[08:00–21:00],domingo:[08:00–21:00],segunda-feira:[Fechado],terça-feira:[08:00–21:00]",19996310530,link,37,4.5,,Local para eventos,,-22.679.398.799.999.900,-476.317.357,ChIJAQCMXDkyxpQRgrBwkKvoqew,,link,link
30,Chacara Spinosa,"Piracicaba, SP","quarta-feira:[08:00–22:00],quinta-feira:[08:00–22:00],sexta-feira:[08:00–22:00],sábado:[08:00–22:00],domingo:[08:00–22:00],segunda-feira:[08:00–22:00],terça-feira:[08:00–22:00]",19997001259,link,36,4.8,,Local para eventos,,-227.807.733,-476.886.805,ChIJMf9eq3Y3xpQRtCtET1_AW7M,,link,link
31,Chacara Piau,"Rod. Samuel de Castro Neves, 4085 - Jardim Sao Jorge, Piracicaba - SP",,19997685228,link,94,4.7,,Local para eventos,,-227.454.462,-477.023.897,ChIJg13z47Q3xpQRLNZigJgdxTk,,link,link
32,Chácara Firenze,Limeira - SP,,19983771073,link,135,4.4,,Salão de festas,,-226.939.578,-474.501.299,ChIJd6xbFGQpxpQRwN8aUVckvMs,,link,link
33,Chácara Pica Pau Piracicaba,"Rua Nove de Julho Esquina com Rua Piracicaba, s/n - Tupi, Piracicaba - SP",,19982110144,link,64,4.6,,Hotel,yes,-22.764.773.299.999.900,-47.524.674,ChIJud7rencmxpQRgOobJucX3SM,0x94c626777aebdeb9:0x23dd17e7261bea80,link,link
34,Chácara Catavento,"Estrada 13 B, S/N - Tupi, Piracicaba - SP, 13428-460",,19991488914,link,269,4.9,link,Viveiro de plantas,yes,-22.767.248.799.999.900,-47.543.937.899.999.900,ChIJjbIj0PElxpQRcx7VsDA_1XI,0x94c625f1d023b28d:0x72d53f30b0d51e73,link,link
35,Chácara recanto dos pássaros,"Rio das Pedras - SP, 13390-000",,,link,13,4.8,,Casa de campo,no,-22.768.706.899.999.900,-47.506.625.799.999.900,ChIJgbWLMEYnxpQRAJIHLjsvbm4,0x94c62746308bb581:0x6e6e2f3b2e079200,link,link
36,Chácara Longuinho Recanto do Bem,"Rua 07 número 1018 Colina - Santa Izabel, Piracicaba - SP",,,link,12,4.1,,Hospedagem,no,-227.768.202,-47.534.188,ChIJMYIXlmolxpQRVJ6IG0785AY,0x94c6256a96178231:0x6e4fc4e1b889e54,link,link
37,Chacara cuca Fresca,"Rua 18 da estrada 15 Santa Isabel - Tupi, Piracicaba - SP, 13428-460",,19991903702,link,19,4.4,,Casa de campo,no,-227.683.504,-475.301.127,ChIJ2-YsWM0lxpQRpgMdgQq9Mpk,0x94c625cd582ce6db:0x9932bd0a811d03a6,link,link
38,Nossa Chácara,"Rio das Pedras - SP, 13390-000",,,link,6,4.1,,Casa de campo,no,-227.790.085,-475.260.058,ChIJecjzAFEnxpQRylGhaiUDZZM,0x94c6275100f3c879:0x936503256aa151ca,link,link
39,Chácara portal do sol,"Rio das Pedras - SP, 13390-000",,19991502892,link,27,4.8,,Cama e café,no,-227.802.377,-47.536.055,ChIJWYlQz48lxpQRtdGF0WShnRA,0x94c6258fcf508959:0x109da164d185d1b5,link,link
40,CHÁCARA FLAKEL,"Estrada 3, Rio das Pedras - SP, 13390-000",,19992402030,link,15,4.6,,Casa de campo,yes,-22.783.286.999.999.900,-47.535.044.899.999.900,ChIJe2hZfi4kxpQR6DGs8kdUJ5I,0x94c6242e7e59687b:0x92275447f2ac31e8,link,link
41,Chácara São Luiz,"Estr. Mun. Santa Isabel - Tupi, Piracicaba - SP, 13428-460",,,link,9,4.9,,Casa de campo,no,-227.612.664,-47.528.139.599.999.900,ChIJ6QqqWt8lxpQRqxu-NttNBtM,0x94c625df5aaa0ae9:0xd3064ddb36be1bab,link,link
42,Chácara do Rob,"4, R. Piracicaba, 18, Piracicaba - SP, 13428-418","quarta-feira:[Atendimento 24 horas],quinta-feira:[Atendimento 24 horas],sexta-feira:[Atendimento 24 horas],sábado:[Atendimento 24 horas],domingo:[Atendimento 24 horas],segunda-feira:[Atendimento 24 horas],terça-feira:[Atendimento 24 horas]",,link,19,4.2,,Fazenda,no,-227.644.558,-47.504.974.999.999.900,ChIJ51qpj14mxpQRMbHpwIh2qUE,0x94c6265e8fa95ae7:0x41a97688c0e9b131,link,link
43,Chacara do magrao,"chácara 05 - bairro do porto bairro do porto , 0, Limeira - SP, 13480-000","quarta-feira:[Atendimento 24 horas],quinta-feira:[Atendimento 24 horas],sexta-feira:[Atendimento 24 horas],sábado:[Atendimento 24 horas],domingo:[Atendimento 24 horas],segunda-feira:[Atendimento 24 horas],terça-feira:[Atendimento 24 horas]",19993310529,link,30,4.7,,Local para eventos,yes,-227.041.401,-474.551.199,ChIJ170QoFIpxpQRvpwiWzHcbwo,0x94c62952a010bdd7:0xa6fdc315b229cbe,link,link
44,Chácara Padoveze,"R. Isael Rodrigues, 168 - Chácaras de Recreio Paraíso, Santa Bárbara d'Oeste - SP, 13450-000",,,link,14,4.8,,Casa de campo,yes,-227.386.461,-47.468.398.699.999.900,ChIJFdQ2mcAnxpQRvS6Gg72ZTcA,0x94c627c09936d415:0xc04d99bd83862ebd,link,link
45,Chácara Paraíso na Ponte do Funil,Limeira - SP,,19991245760,link,24,4.8,link,Hospedagem,no,-22.701.621.799.999.900,-474.516.419,ChIJIxzYygkpxpQRpiSm-3BTZfs,0x94c62909cad81c23:0xfb655370fba624a6,link,link
46,CHACARA NOSSA SENHORA APARECIDA,Limeira - SP,,,link,50,4.8,,Salão,no,-227.041.432,-474.544.873,ChIJhdHQ23opxpQRXEbkK7s9u10,0x94c6297adbd0d185:0x5dbb3dbb2be4465c,link,link
